programme,year,semester,course_code,course_name,credits
Telecommunication Eng.,1,1,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Telecommunication Eng.,1,1,CE 155,ENVIRONMENTAL STUDIES,2
Telecommunication Eng.,1,1,EE 151,APPLIED ELECTRICITY,3
Telecommunication Eng.,1,1,EE 153,ENGINEERING TECHNOLOGY,2
Telecommunication Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Telecommunication Eng.,1,1,MATH 151,ALGEBRA,4
Telecommunication Eng.,1,1,ME 159,TECHNICAL DRAWING,2
Telecommunication Eng.,1,1,ME 161,BASIC MECHANICS,3
Biomedical Eng.,1,1,BME 161,CELL BIOLOGY,3
Biomedical Eng.,1,1,CHEM 151,GENERAL CHEMISTRY,2
Biomedical Eng.,1,1,COE 153,ENGINEERING TECHNOLOGY,2
Biomedical Eng.,1,1,EE 151,APPLIED ELECTRICITY,3
Biomedical Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Biomedical Eng.,1,1,MATH 151,ALGEBRA,4
Biomedical Eng.,1,1,ME 161,BASIC MECHANICS,3
Computer Eng.,1,1,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Computer Eng.,1,1,CE 155,ENVIRONMENTAL STUDIES,2
Computer Eng.,1,1,COE 153,ENGINEERING TECHNOLOGY,2
Computer Eng.,1,1,COE 181,APPLIED ELECTRICITY,3
Computer Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Computer Eng.,1,1,MATH 151,ALGEBRA,4
Computer Eng.,1,1,ME 159,TECHNICAL DRAWING,2
Computer Eng.,1,1,ME 161,BASIC MECHANICS,3
Electrical/Electronic,1,1,EE 151,APPLIED ELECTRICITY,3
Electrical/Electronic,1,1,EE 153,ELECTRICAL ENGINEERING TECHNOLOGY WITH MATLAB,2
Electrical/Electronic,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Electrical/Electronic,1,1,MATH 151,ALGEBRA,4
Electrical/Electronic,1,1,EE 161,TRANSFORMERS,2
Electrical/Electronic,1,1,EE 167,OCCUPATIONAL HEALTH AND SAFETY,2
Electrical/Electronic,1,1,ME 161,BASIC MECHANICS,3
Electrical/Electronic,1,2,EE 152,BASIC ELECTRONICS,3
Electrical/Electronic,1,2,EE 156,FUNDAMENTALS OF ELECTRICAL CONTROL AND PLC SYSTEMS,2
Electrical/Electronic,1,2,EE 158,INTRODUCTION TO PYTHON AND COMPUTER NETWORK,2
Electrical/Electronic,1,2,EE 188,ELECTRICAL MEASUREMENT AND INSTRUMENTATION,3
Electrical/Electronic,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Electrical/Electronic,1,2,EE 166,CIRCUIT THEORY,2
Electrical/Electronic,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Electrical/Electronic,1,2,ME 166,APPLIED THERMODYNAMICS I,2
Telecommunication Eng.,1,2,EE 152,BASIC ELECTRONICS,3
Telecommunication Eng.,1,2,EE 188,ELECTRICAL MEASUREMENT AND INSTRUMENTATION,3
Telecommunication Eng.,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Telecommunication Eng.,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Telecommunication Eng.,1,2,PSYC 154,INTRODUCTION TO PSYCHOLOGY,2
Telecommunication Eng.,1,2,TE 152,ENGINEERING RESEARCH AND TECHNICAL REPORT WRITING,2
Telecommunication Eng.,1,2,TE 156,INTRODUCTION TO COMMUNICATION NETWORKS,2
Telecommunication Eng.,1,2,TE 158,INTRODUCTION TO PROGRAMMING - I,2
Mechanical Eng.,2,2,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Mechanical Eng.,2,2,MATH 252,CALCULUS OF SEVERAL VARIABLES,4
Mechanical Eng.,2,2,ME 252,FLUID DYNAMICS I,3
Mechanical Eng.,2,2,ME 264,MECHANISMS SYNTHESIS AND ANALYSIS I,3
Mechanical Eng.,2,2,ME 266,THERMODYNAMICS I,2
Mechanical Eng.,2,2,ME 274,MACHINE DESIGN PROJECT,2
Mechanical Eng.,2,2,ME 292,INDUSTRIAL ENGINEERING AND ERGONOMICS,2
Mechanical Eng.,2,2,ME 296,MECHANICAL ENGINEERING LAB. II,1
Chemical Eng.,1,1,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Chemical Eng.,1,1,CHE 151,INORGANIC CHEMISTRY FOR ENGINEERS,2
Chemical Eng.,1,1,CHE 153,ORGANIC CHEMISTRY FOR ENGINEERS,2
Chemical Eng.,1,1,CHEM 169,PRACTICAL CHEMISTRY I,3
Chemical Eng.,1,1,EE 151,APPLIED ELECTRICITY,3
Chemical Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Chemical Eng.,1,1,MATH 151,ALGEBRA,4
Chemical Eng.,1,1,ME 159,TECHNICAL DRAWING,2
Mechanical Eng.,2,1,CENG 291,ENGINEERING IN SOCIETY,2
Mechanical Eng.,2,1,MATH 251,DIFFERENTIAL EQUATIONS,4
Mechanical Eng.,2,1,ME 251,INTRODUCTION TO FLUID MECHANICS,2
Mechanical Eng.,2,1,ME 255,STRENGTH OF MATERIALS I,3
Mechanical Eng.,2,1,ME 259,APPLICATIONS OF COMPUTER GRAPHICS,3
Mechanical Eng.,2,1,ME 261,ENGINEERING MECHANICS II: DYNAMICS,2
Mechanical Eng.,2,1,ME 281,ENGINEERING MATERIALS I,2
Mechanical Eng.,2,1,ME 295,MECHANICAL ENGINEERING LAB. I,1
Marine Eng.,1,2,EE 152,BASIC ELECTRONICS,2
Marine Eng.,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Marine Eng.,1,2,FC 182,FRENCH FOR COMMUNICATION II,2
Marine Eng.,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Marine Eng.,1,2,ME 160,ENGINEERING DRAWING,3
Marine Eng.,1,2,ME 164,ENGINEERING MECHANICS I:STATICS,2
Marine Eng.,1,2,ME 168,COMPUTER PROGRAMMING FOR ENGINEERS,2
Marine Eng.,1,2,MME 174,MARINE ENGINEERING DESIGN PROJECT I,2
Chemical Eng.,1,2,CHE 156,PHYSICAL CHEMISTRY FOR ENGINEERS,2
Chemical Eng.,1,2,CHE 158,INTRODUCTION TO INFORMATION TECHNOLOGY,2
Chemical Eng.,1,2,EE 152,BASIC ELECTRONICS,2
Chemical Eng.,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Chemical Eng.,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Chemical Eng.,1,2,ME 162,BASIC MECHANICS,3
Chemical Eng.,1,2,PHY 170,GENERAL PHYSICS,3
Electrical/Electronic,2,2,ECON 152,INTRODUCTORY ECONOMICS II,2
Electrical/Electronic,2,2,EE 258,POWER SUPPLY ELECTRONICS,2
Electrical/Electronic,2,2,EE 262,AC MACHINES,3
Electrical/Electronic,2,2,EE 272,DIGITAL SYSTEMS,3
Electrical/Electronic,2,2,EE 292,ELECTRICAL ENGINEERING LAB. II,1
Electrical/Electronic,2,2,MATH 252,CALCULUS OF SEVERAL VARIABLES,4
Electrical/Electronic,2,2,TE 254,ELECTROMAGNETIC FIELD THEORY,3
Electrical/Electronic,2,1,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Electrical/Electronic,2,1,CENG 291,ENGINEERING IN SOCIETY,2
Electrical/Electronic,2,1,COE 251,C PROGRAMMING,3
Electrical/Electronic,2,1,EE 261,DC MACHINES,3
Electrical/Electronic,2,1,EE 265,ELECTRICAL SERVICES DESIGN,2
Electrical/Electronic,2,1,EE 271,SEMICONDUCTOR DEVICES,2
Electrical/Electronic,2,1,EE 291,ELECTRICAL ENGINEERING LAB. I,1
Electrical/Electronic,2,1,MATH 251,DIFFERENTIAL EQUATIONS,4
Civil Eng.,2,1,CE 251,STRENGTH OF MATERIALS,2
Civil Eng.,2,1,CE 255,THEORY OF STRUCTURES,3
Civil Eng.,2,1,CE 257,COMPUTER PROGRAMMING,2
Civil Eng.,2,1,CE 259,ENGINEERING GEOLOGY,2
Civil Eng.,2,1,CE 271,ENGINEERING REPORTING,2
Civil Eng.,2,1,CENG 291,ENGINEERING IN SOCIETY,2
Civil Eng.,2,1,MATH 251,DIFFERENTIAL EQUATIONS,4
Telecommunication Eng.,2,2,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Telecommunication Eng.,2,2,FC 182,FRENCH FOR COMMUNICATION II,2
Telecommunication Eng.,2,2,MATH 252,CALCULUS WITH SEVERAL VARIABLES,4
Telecommunication Eng.,2,2,TE 252,FUNDAMENTALS OF DATA SCIENCE,3
Telecommunication Eng.,2,2,TE 254,ELECTROMAGNETIC FIELD THEORY,3
Telecommunication Eng.,2,2,TE 256,COMMUNICATION CIRCUITS,2
Telecommunication Eng.,2,2,TE 258,MICROPROCESSORS,2
Telecommunication Eng.,2,2,TE 292,DIGITAL ELECTRONICS AND MICROPROCESSORS LAB,2
Telecommunication Eng.,2,1,EE 287,CIRCUIT THEORY,3
Telecommunication Eng.,2,1,FC 181,FRENCH FOR COMMUNICATION PURPOSES I,2
Telecommunication Eng.,2,1,MATH 251,DIFFERENTIAL EQUATIONS,4
Telecommunication Eng.,2,1,TE 255,INTRODUCTION TO PROGRAMMING II,3
Telecommunication Eng.,2,1,TE 291,ANALOG COMMUNICATION LAB,2
Telecommunication Eng.,2,1,TE 251,ANALOG COMMUNICATION SYSTEMS,2
Telecommunication Eng.,2,1,TE 253,DIGITAL SYSTEMS,3
Telecommunication Eng.,2,1,CENG 291,ENGINEERING IN SOCIETY,2
Marine Eng.,1,1,AI 150,FUNDAMENTALS OF RESPONSIBLE AI FOR ALL,2
Marine Eng.,1,1,EE 151,APPLIED ELECTRICITY,3
Marine Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Marine Eng.,1,1,FC 181,FRENCH FOR COMMUNICATION PURPOSES I,2
Marine Eng.,1,1,MATH 151,ALGEBRA,4
Marine Eng.,1,1,ME 157,INTRODUCTION TO INFORMATION TECHNOLOGY,2
Marine Eng.,1,1,ME 159,TECHNICAL DRAWING,3
Marine Eng.,1,1,MME 155,INTRODUCTION TO OCEANOGRAPHY,2
Marine Eng.,1,1,MME 195,MARINE ENGINEERING TECHNOLOGY,2
Civil Eng.,2,2,CE 256,FLUID MECHANICS,3
Civil Eng.,2,2,CE 258,STRUCTURAL ANALYSIS,3
Civil Eng.,2,2,CE 260,SOIL AND ROCK MECHANICS,2
Civil Eng.,2,2,CE 262,SOIL AND ROCKS MECHANICS LABORATORY,1
Civil Eng.,2,2,CE 264,INTRODUCTION TO ENVIRONMENTAL ENGINEERING,2
Civil Eng.,2,2,CE 272,PRINCIPLE OF DESIGN,2
Civil Eng.,2,2,GE 282,LARGE SCALE SURVEYING,4
Civil Eng.,2,2,MATHS 252,CALCULUS OF SEVERAL VARIABLES,4
Biomedical Eng.,1,2,COE 152,BASIC ELECTRONICS,3
Biomedical Eng.,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Biomedical Eng.,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Biomedical Eng.,1,2,ME 166,APPLIED THERMODYNAMICS,2
Biomedical Eng.,1,2,PHY 154,PROPERTIES OF MATTER,2
Biomedical Eng.,1,2,SOC 152,INTRODUCTION TO SOCIOLOGY II,3
Biomedical Eng.,1,2,SSN 166,BIOCHEMISTRY,2
Biomedical Eng.,2,1,BME 265,BIOLOGICAL TRANSPORT PHENOMENA,3
Biomedical Eng.,2,1,BME 285,ANATOMY AND PHYSIOLOGY FOR ENGINEERS I,4
Biomedical Eng.,2,1,BME 291,BIOMEDICAL ENGINEERING LAB I,2
Biomedical Eng.,2,1,CENG 291,ENGINEERING IN SOCIETY,2
Biomedical Eng.,2,1,COE 271,SEMICONDUCTOR DEVICES,2
Biomedical Eng.,2,1,ECON 151,INTRODUCTORY ECONOMICS I,2
Biomedical Eng.,2,1,MATH 251,DIFFERENTIAL EQUATIONS,4
Biomedical Eng.,2,1,COE 281,PROGRAMMING AND PROBLEM SOLVING,2
Biomedical Eng.,2,2,BME 286,ANATOMY AND PHYSIOLOGY FOR ENGINEERS II,4
Biomedical Eng.,2,2,COE 254,OBJECT-ORIENTED PROGRAMMING,3
Biomedical Eng.,2,2,COE 272,DIGITAL SYSTEMS DESIGN I,3
Biomedical Eng.,2,2,COE 288,CIRCUIT THEORY,2
Biomedical Eng.,2,2,ECON 152,ELEMENTS OF ECONOMICS II,2
Biomedical Eng.,2,2,MATH 252,CALCULUS OF SEVERAL VARIABLES,4
Biomedical Eng.,2,2,MSE 154,PRINCIPLES OF MATERIALS SCIENCE,2
Civil Eng.,1,1,CE 151,ELEMENTARY STRUCTURES,3
Civil Eng.,1,1,CE 153,ENGINEERING PRACTICE AND TECHNOLOGY,2
Civil Eng.,1,1,ENGL 157,COMMUNICATION SKILLS I,2
Civil Eng.,1,1,FC 181,FRENCH FOR COMMUNICATION PURPOSES I,2
Civil Eng.,1,1,MATH 151,ALGEBRA,4
Civil Eng.,1,1,ME 159,TECHNICAL DRAWING,2
Civil Eng.,1,1,ME 161,BASIC MECHANICS,3
Civil Eng.,1,2,CE 154,PROPERTIES OF CIVIL ENGINEERING MATERIAL,2
Civil Eng.,1,2,CE 156,ELEMENTARY FLUIDS MECHANICS,3
Civil Eng.,1,2,CE 164,CIVIL ENGINEERING DRAWING,2
Civil Eng.,1,2,EE 152,BASIC ELECTRONICS,2
Civil Eng.,1,2,ENGL 158,COMMUNICATION SKILLS II,2
Civil Eng.,1,2,FC 182,FRENCH FOR COMMUNICATION II,2
Civil Eng.,1,2,MATH 152,CALCULUS WITH ANALYSIS,4
Agricultural Eng.,2,2,EE 252,ELECTRICAL ENGINEERING MACHINES,3
